Ángulo del crista;Tasa con 13kV;Tasa con 15kV;Tasa con 17kV;Tasa con 19kV;Tasa con 21kV;Tasa con 23kV;Tasa con 25kV;Tasa con 27kV;Tasa con 29kV;Tasa con 31kV;Tasa con 33kV;Tasa con 35kV
theta/°;R(13kV)/Imp/s;R(15kV)/Imp/s;R(17kV)/Imp/s;R(19kV)/Imp/s;R(21kV)/Imp/s;R(23kV)/Imp/s;R(25kV)/Imp/s;R(27kV)/Imp/s;R(29kV)/Imp/s;R(31kV)/Imp/s;R(33kV)/Imp/s;R(35kV)/Imp/s
;;;;;;;;;;;;
12;0;4;3;6;5;8;6;9;9;14;13;15
12,1;1;1;3;4;4;7;5;11;12;14;19;16
12,2;0;2;4;6;2;5;2;7;7;13;16;17
12,3;2;2;2;5;2;4;6;9;12;10;14;17
12,4;0;2;4;3;6;3;9;2;8;20;15;17
12,5;1;3;3;3;4;5;5;7;8;14;13;16
12,6;1;2;3;4;5;7;4;8;11;10;17;13
12,7;2;1;2;5;8;3;6;6;9;14;12;16
12,8;1;3;2;6;7;5;7;10;5;13;13;16
12,9;0;2;4;5;6;6;9;13;13;12;17;23
13;1;1;1;5;3;4;7;8;11;10;12;16
13,1;0;0;3;4;6;5;4;9;11;8;13;14
13,2;1;2;2;2;5;6;8;9;8;11;17;18
13,3;1;2;2;4;5;6;9;7;11;11;13;13
13,4;1;2;3;2;5;6;7;9;11;17;12;12
13,5;1;1;5;0;5;6;7;4;11;9;12;20
13,6;1;2;2;2;5;7;8;12;11;13;15;18
13,7;1;4;3;3;7;5;5;13;12;12;17;16
13,8;1;3;3;7;4;7;7;6;11;14;12;18
13,9;2;3;5;6;7;6;10;10;11;12;14;17
14;2;0;3;5;6;5;8;14;12;15;17;15
14,1;0;3;5;6;7;7;10;10;11;14;16;14
14,2;1;3;5;4;4;10;9;7;11;13;13;13
14,3;2;2;5;5;4;4;7;9;11;14;16;16
14,4;1;1;3;4;5;6;5;5;7;15;16;15
14,5;1;2;2;6;7;6;6;11;12;12;11;24
14,6;0;3;1;4;3;5;12;10;11;12;9;14
14,7;1;1;5;4;4;4;3;4;13;10;13;13
14,8;2;2;4;2;4;5;5;9;11;10;14;9
14,9;1;1;2;4;5;9;6;8;8;9;11;0
15;1;0;3;6;4;9;7;12;14;14;12;0
15,1;0;1;4;4;5;8;8;7;10;11;13;0
15,2;1;3;3;4;4;4;7;8;6;10;9;0
15,3;0;2;3;5;9;4;8;8;8;21;11;0
15,4;1;2;7;5;2;6;9;8;9;13;16;0
15,5;1;2;5;6;3;4;11;7;10;8;13;0
15,6;3;1;2;5;5;4;11;9;13;7;13;0
15,7;1;3;2;4;8;5;10;7;9;14;10;0
15,8;1;3;3;6;4;2;5;5;6;9;12;0
15,9;1;1;2;2;8;7;7;11;9;10;14;0
16;1;3;4;2;4;4;8;4;7;9;10;0
16,1;2;4;5;4;7;5;7;8;11;9;16;0
16,2;1;1;2;4;6;8;5;8;13;6;15;0
16,3;1;4;4;5;6;5;4;5;10;12;9;0
16,4;1;3;1;3;7;6;8;11;6;8;9;0
16,5;3;2;1;4;4;4;6;8;6;14;16;0
16,6;1;0;2;2;7;7;6;3;11;7;16;0
16,7;1;2;3;3;7;8;8;8;9;12;16;0
16,8;1;2;4;5;8;7;6;11;7;8;13;0
16,9;2;0;4;5;5;9;7;7;14;13;13;0
17;0;0;4;3;2;4;7;8;8;8;12;0
17,1;0;1;2;4;4;6;7;9;13;9;14;0
17,2;1;2;4;5;3;3;8;10;13;10;14;0
17,3;1;2;4;5;4;3;4;7;12;8;14;0
17,4;2;1;3;3;3;6;4;7;10;12;13;0
17,5;1;2;2;4;6;6;11;8;10;14;12;0
17,6;1;2;4;2;5;6;6;6;13;12;12;0
17,7;1;1;2;3;6;7;7;7;5;13;11;0
17,8;2;1;2;6;5;5;5;8;8;11;9;0
17,9;1;2;2;4;0;4;7;10;11;10;11;0
18;3;2;5;2;4;7;7;8;10;10;8;0
18,1;0;3;4;2;6;5;10;10;7;13;16;0
18,2;3;0;4;5;6;6;8;17;13;12;18;0
18,3;4;7;10;8;15;19;15;24;22;33;21;0
18,4;8;13;27;36;36;61;74;73;95;101;111;0
18,5;8;15;25;32;42;56;64;77;78;103;122;0
18,6;3;5;5;6;14;13;21;19;29;33;39;0
18,7;1;3;4;6;6;9;16;15;15;19;18;0
18,8;3;4;3;5;3;8;8;12;9;13;11;0
18,9;1;1;5;5;8;8;9;12;13;17;14;0
19;1;4;3;5;6;9;5;8;5;8;13;0
19,1;1;1;3;6;5;6;10;7;12;16;10;0
19,2;1;3;2;4;5;8;5;17;14;11;17;0
19,3;0;4;6;6;2;11;10;9;11;17;13;0
19,4;2;1;2;3;7;5;9;5;14;15;11;0
19,5;3;2;4;8;5;8;7;10;12;9;15;0
19,6;1;2;5;3;5;7;12;9;12;12;8;0
19,7;0;1;3;4;6;7;10;10;6;10;12;0
19,8;2;3;5;7;8;7;8;9;17;16;14;0
19,9;2;3;2;5;6;7;7;10;10;13;14;0
20;1;1;3;5;5;4;7;10;12;10;15;0
20,1;1;4;2;3;6;7;9;9;13;11;13;0
20,2;1;1;3;6;4;4;6;7;11;10;16;0
20,3;0;1;2;6;9;8;7;11;16;14;17;0
20,4;2;2;5;6;8;15;15;15;11;18;21;0
20,5;5;8;10;14;19;21;23;29;35;42;39;0
20,6;37;56;92;135;165;205;228;259;317;329;343;0
20,7;36;87;139;172;229;296;335;386;456;503;556;0
20,8;29;57;109;167;0;243;290;359;405;444;504;0
20,9;6;10;12;24;24;40;47;57;68;81;92;0
21;3;4;4;6;11;12;15;18;18;26;30;0
21,1;0;3;4;0;5;7;9;13;16;20;17;0
21,2;2;3;3;5;7;9;8;10;14;9;13;0
21,3;0;1;5;4;7;9;9;8;13;13;14;0
21,4;1;3;3;5;7;7;9;8;15;12;15;0
21,5;2;2;5;4;5;8;9;10;12;8;10;0
21,6;0;2;4;3;4;7;7;7;16;10;14;0
21,7;1;1;2;3;3;6;7;5;10;12;12;0
21,8;2;2;1;3;4;5;8;7;10;15;14;0
21,9;2;1;1;6;4;4;7;11;8;9;10;0
22;1;2;1;2;5;5;7;6;9;8;13;0
22,1;1;3;1;2;7;3;5;4;9;13;11;0
22,2;0;3;1;4;5;4;6;8;6;10;13;0
22,3;2;2;3;2;6;6;4;6;10;11;13;0
22,4;1;3;2;4;4;3;7;11;7;12;11;0
22,5;1;1;0;3;7;4;8;10;10;9;16;0
22,6;0;2;0;3;4;5;6;9;11;11;15;0
22,7;2;1;5;4;4;4;5;7;9;5;10;0
22,8;1;2;1;3;5;4;5;8;8;7;11;0
22,9;0;2;3;2;3;5;7;5;6;8;12;0
23;3;0;5;4;4;6;9;8;10;10;8;0
